,title,link,views,time,duration,img
653,Uses of final Keyword (Java Programming) | GeeksforGeeks,/watch?v=yz-BIVvLR9w,3.7K views,3 years ago,3:43,https://i.ytimg.com/vi/yz-BIVvLR9w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHv1m4ZuyRaYtK0ZJxm5K1LDrBEw
654,7. Display nth row in SQL (Top 50 SQL Questions)| GeeksforGeeks,/watch?v=k7rg4CARxD8,52K views,3 years ago,3:57,https://i.ytimg.com/vi/k7rg4CARxD8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1_Qy0MUu6x7fN2QPaTKUrsaH9pg
655,Amazon Interview Experience for Internship | On-Campus Placement | GeeksforGeeks,/watch?v=UvvirLnjNYY,25K views,3 years ago,25:2,https://i.ytimg.com/vi/UvvirLnjNYY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5EyXX2-7u88wNyn-8pFqnMlhMaA
656,Snake and Ladder Problem (Graphs) | GeeksforGeeks,/watch?v=1pMNYQmtVVg,40K views,3 years ago,9:22,https://i.ytimg.com/vi/1pMNYQmtVVg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxzSIWdpVwfinPhfAZQov7Ao0euw
657,6. Pattern searching in SQL- 2 (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=ePctSjODSYU,40K views,3 years ago,4:46,https://i.ytimg.com/vi/ePctSjODSYU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXd863xm4jdklbLZApa4-gruah7A
658,5. Pattern matching in SQL (Top 50 SQL Interview Questions)| GeeksforGeeks,/watch?v=kGEjUBxLDyg,48K views,3 years ago,4:20,https://i.ytimg.com/vi/kGEjUBxLDyg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJeNEub5oOq-Pm4SHctzdR7mqzFw
659,4. Display Duplicate of a Column| GeeksforGeeks,/watch?v=zajIPJwLb78,53K views,3 years ago,4:27,https://i.ytimg.com/vi/zajIPJwLb78/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsRJM_3djsQcmcIfLGs7lRthXxoQ
660,3. Display Alternate Records (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=ZhcKee2weD4,70K views,3 years ago,4:10,https://i.ytimg.com/vi/ZhcKee2weD4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtqUBJb5bVv_Fa3QOclw7HKwotSA
661,2. Department wise highest Salary (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=OddSz0T85nc,82K views,3 years ago,4:15,https://i.ytimg.com/vi/OddSz0T85nc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmGA-li787HpFygEcEPUPEGYKtVw
662,Check if a given array contains duplicate elements within k distance from each other | GeeksforGeeks,/watch?v=hzRo7dLtQHs,4.6K views,3 years ago,5:51,https://i.ytimg.com/vi/hzRo7dLtQHs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8k4c35cOJS-IU6MTW7rmdj_v2Qg
663,1. 2nd Highest Salary (Top 50 SQL Interview Questions)| GeeksforGeeks,/watch?v=-6v7ctxC7yk,166K views,3 years ago,3:42,https://i.ytimg.com/vi/-6v7ctxC7yk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCM_LknElU9LTTTCKvIKCKm1ZTdYA
664,Map (Go Programming Language) | GeeksforGeeks,/watch?v=j5KA7K0-gbY,1.2K views,3 years ago,4:15,https://i.ytimg.com/vi/j5KA7K0-gbY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcuOESs_bnRrh-osQ8xuYuASYamA
665,Packages (Basics) | GeeksforGeeks,/watch?v=fhWCG4G1oHY,7.4K views,3 years ago,12:3,https://i.ytimg.com/vi/fhWCG4G1oHY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZ52oScAKw2uJKQEPMoT14mhHJSA
